scramble eggs_eggs,milk
shrimpCalypso EWBp151_produce_cilantro,produce_garlic,produce_ginger,produce_greenOnions,produce_pineapple,grocery_cookingSpray,grocery_redPepperFlakes,grocery_turmeric,protein_shrimp,dairy_yogurt
shrimpItaliano EWBp152_produce_basil,produce_bellPepper,produce_garlic,produce_mushrooms,produce_onions,produce_zucchini,grocery_cookingSpray,grocery_pepper,grocery_redPepperFlakes,grocery_salt,grocery_canDicedTomatoes,protein_shrimp
shrimpScampi EWBp153_produce_garlic,produce_lemons,produce_parsley,produce_shallots,grocery_clamJuice,grocery_cookingSpray,grocery_pepper,grocery_salt,grocery_whiteWine,protein_shrimp
shrimpWithCoconutCurryTomatoSauce EWBp154_produce_garlic,produce_ginger,produce_jalapeno,produce_onions,grocery_coconutMilk,grocery_cookingSpray,grocery_curryPowder,grocery_sweetner,grocery_canDicedTomatoes,protein_shrimp
singaporeShrimpDumplings EWBp155_produce_cabbage,produce_ginger,produce_scallions,grocery_asianChiliPaste,grocery_redPepperFlakes,grocery_riceVinegar,grocery_sesameOil,grocery_drySherry,grocery_soySauce,grocery_sweetner,grocery_water,protein_shrimp,frozen_spinach
zucchiniPastaWithShrimp EWBp157_produce_zucchini,grocery_basil,grocery_clamJuice,grocery_cookingSpray,grocery_oregano,grocery_canDicedTomatoes,grocery_water,protein_shrimp,dairy_ricottaCheese
asianMarinatedScallops EWBp158_produce_ginger,produce_lemons,produce_limes,produce_oranges,grocery_sesameOil,grocery_soySauce,grocery_sweetner,protein_scallops,
coquillesSaintJacque EWB p159_grocery_clamJuice,grocery_cookingSpray,grocery_saffron,grocery_vermouth,grocery_whiteWine,protein_scallops,grocery_canEvaporatedMilk
scallopsPiquant EWBp160_produce_shallots,grocery_cookingSpray,grocery_dijonMustard,grocery_water,grocery_whiteWine,protein_scallops
scallopsProvencale EWBp161_produce_basil,produce_garlic,produce_grapeTomatoes,grocery_cookingSpray,grocery_thyme,grocery_whiteWine,protein_scallops
scallopsWithWhiteWineAndGarlic EWBp162_produce_garlic,produce_parsley,grocery_cookingSpray,grocery_whiteWine,protein_scallops
mostVersatileVegetableReceipeEver EWBp163_produce_avocado,produce_bellPepper,produce_mushrooms,produce_sweetOnions,produce_grapeTomatoes,dairy_butter,grocery_steakSeasoning
vegetarianBeanChili EWB165_produce_bellPepper,produce_carrots,produce_celery,produce_garlic,produce_jalapeno,produce_onions,produce_zucchini,grocery_canBlackBeans,grocery_canPinto,grocery_vegetableBroth,grocery_chiliPowder,grocery_cookingSpray,grocery_cumin,grocery_kidneyBeans,grocery_oregano,grocery_salt,grocery_canTomatoSauce,grocery_canDicedTomatoes
freshVeggieBurger EWBp67_produce_mushrooms,produce_onions,grocery_canPinto,grocery_cookingSpray,grocery_cumin,grocery_parsley,grocery_pepper,grocery_salt
